addresspoid,housenum,geo_housenum,geo_streetname,geo_return_code,geo_message,geo_reason_code
107586,123-01,123-01,13 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
108020,132-01C,132-01C,14 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
108547,112-02,112-02,13 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
108548,112-01,112-01,14 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
108548,112-05,112-05,14 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
110879,22-21,22-21,122 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
111221,23-48,23-48,COLLEGE POINT BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
112559,139-15,139-15,POINT CRESCENT,42,ADDRESS NUMBER OUT OF RANGE,""
112592,7-14,7-14,POINT CRESCENT,42,ADDRESS NUMBER OUT OF RANGE,""
112752,141-07,141-07,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112759,34,34,7 AVENUE,75,DUPLICATE ADDRESS-USE 7 AVENUE MALBA OR 7 AVENUE ROCKAWAYS,""
112763,30,30,7 AVENUE,75,DUPLICATE ADDRESS-USE 7 AVENUE MALBA OR 7 AVENUE ROCKAWAYS,""
112775,141-25,141-25,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112777,141-27,141-27,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112779,141-33,141-33,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112781,141-13,141-13,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112783,141-09,141-09,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112791,141-16,141-16,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112795,141-24,141-24,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112797,141-32,141-32,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112799,141-40,141-40,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112801,141-28,141-28,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112803,141-44,141-44,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112805,141-46,141-46,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
112808,8-26,8-26,144 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
112817,29,29,9 AVENUE,75,DUPLICATE ADDRESS-USE 9 AVENUE MALBA OR 9 AVENUE ROCKAWAYS,""
112825,33,33,9 AVENUE,75,DUPLICATE ADDRESS-USE 9 AVENUE MALBA OR 9 AVENUE ROCKAWAYS,""
113041,5-10,5-10,PARSONS BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
113059,20,20,7 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
113060,144-18,144-18,BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
113070,144-67,144-67,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
113075,144-47,144-47,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
113077,144-33,144-33,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
113080,144-21,144-21,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
113085,144-20,144-20,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
113087,144-40,144-40,8 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
113103,9,9,9 AVENUE,75,DUPLICATE ADDRESS-USE 9 AVENUE MALBA OR 9 AVENUE ROCKAWAYS,""
113185,125,125,POWELLS COVE DRIVE,42,ADDRESS NUMBER OUT OF RANGE,""
113188,1-20,1-20,144 STREET,50,144 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
114723,150-47A,150-47A,12 ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
115630,159-03,159-03,7 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
116034,156-01,156-01,15 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
118238,149-47,149-47,19 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
119021,150-01,150-01,WILLETS POINT BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
120701,29-44,29-44,143 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
124634,27-04,27-04,170 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
125012,134-03A,134-03A,35 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
125690,136-38,136-38,39 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
126040,33-26,33-26,MURRAY STREET,42,ADDRESS NUMBER OUT OF RANGE,""
126419,142-30,142-30,37 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
126679,136-13A,136-13A,41 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
128590,45-56,45-56,KISSENA BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
129623,45-52D,45-52D,BOWNE STREET,42,ADDRESS NUMBER OUT OF RANGE,""
130582,143-14,143-14,QUINCE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
132461,189-14D,189-14D,35 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
133078,41-96,41-96,158 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
133141,160-21,160-21,SANFORD AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
133142,41-14,41-14,161 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
133142,41-30,41-30,161 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
133612,40-10,40-10,192 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
137766,195-03,195-03,45 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
143067,169-03,169-03,26 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
144711,214-05,214-05,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144713,214-01,214-01,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144729,214-03,214-03,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144760,214-10,214-10,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144762,214-14,214-14,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144764,214-16,214-16,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144766,214-20,214-20,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144768,214-22,214-22,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144770,214-26,214-26,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144772,214-28,214-28,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144774,214-32,214-32,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
144776,214-34,214-34,217 STREET,50,217 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
146452,32-01,32-01,FRANCIS LEWIS BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
147420,215-22,215-22,32 ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
148201,209-09,209-09,34 ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
149181,36-16,36-16,212 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
149183,36-28A,36-28A,212 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
149935,40-25O,40-25O,201 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
152436,132-04,132-04,57 ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
152603,134-14,134-14,58 ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
